date_key,date,year,month,quarter,day_of_week,week_of_year,year_month
20190413,2019-04-13,2019,4,2,5,15,2019-04
20190414,2019-04-14,2019,4,2,6,15,2019-04
20190415,2019-04-15,2019,4,2,0,16,2019-04
20190416,2019-04-16,2019,4,2,1,16,2019-04
20190417,2019-04-17,2019,4,2,2,16,2019-04
20190418,2019-04-18,2019,4,2,3,16,2019-04
20190419,2019-04-19,2019,4,2,4,16,2019-04
20190420,2019-04-20,2019,4,2,5,16,2019-04
20190421,2019-04-21,2019,4,2,6,16,2019-04
20190422,2019-04-22,2019,4,2,0,17,2019-04
20190423,2019-04-23,2019,4,2,1,17,2019-04
20190424,2019-04-24,2019,4,2,2,17,2019-04
20190425,2019-04-25,2019,4,2,3,17,2019-04
20190426,2019-04-26,2019,4,2,4,17,2019-04
20190427,2019-04-27,2019,4,2,5,17,2019-04
20190428,2019-04-28,2019,4,2,6,17,2019-04
20190429,2019-04-29,2019,4,2,0,18,2019-04
20190430,2019-04-30,2019,4,2,1,18,2019-04
20190501,2019-05-01,2019,5,2,2,18,2019-05
20190502,2019-05-02,2019,5,2,3,18,2019-05
20190503,2019-05-03,2019,5,2,4,18,2019-05
20190504,2019-05-04,2019,5,2,5,18,2019-05
20190505,2019-05-05,2019,5,2,6,18,2019-05
20190506,2019-05-06,2019,5,2,0,19,2019-05
20190507,2019-05-07,2019,5,2,1,19,2019-05
20190508,2019-05-08,2019,5,2,2,19,2019-05
20190509,2019-05-09,2019,5,2,3,19,2019-05
20190510,2019-05-10,2019,5,2,4,19,2019-05
20190511,2019-05-11,2019,5,2,5,19,2019-05
20190512,2019-05-12,2019,5,2,6,19,2019-05
20190513,2019-05-13,2019,5,2,0,20,2019-05
20190514,2019-05-14,2019,5,2,1,20,2019-05
20190515,2019-05-15,2019,5,2,2,20,2019-05
20190516,2019-05-16,2019,5,2,3,20,2019-05
20190517,2019-05-17,2019,5,2,4,20,2019-05
20190518,2019-05-18,2019,5,2,5,20,2019-05
20190519,2019-05-19,2019,5,2,6,20,2019-05
20190520,2019-05-20,2019,5,2,0,21,2019-05
20190521,2019-05-21,2019,5,2,1,21,2019-05
20190522,2019-05-22,2019,5,2,2,21,2019-05
20190523,2019-05-23,2019,5,2,3,21,2019-05
20190524,2019-05-24,2019,5,2,4,21,2019-05
20190525,2019-05-25,2019,5,2,5,21,2019-05
20190526,2019-05-26,2019,5,2,6,21,2019-05
20190527,2019-05-27,2019,5,2,0,22,2019-05
20190528,2019-05-28,2019,5,2,1,22,2019-05
20190529,2019-05-29,2019,5,2,2,22,2019-05
20190530,2019-05-30,2019,5,2,3,22,2019-05
20190531,2019-05-31,2019,5,2,4,22,2019-05
20190601,2019-06-01,2019,6,2,5,22,2019-06
20190602,2019-06-02,2019,6,2,6,22,2019-06
20190603,2019-06-03,2019,6,2,0,23,2019-06
20190604,2019-06-04,2019,6,2,1,23,2019-06
20190605,2019-06-05,2019,6,2,2,23,2019-06
20190606,2019-06-06,2019,6,2,3,23,2019-06
20190607,2019-06-07,2019,6,2,4,23,2019-06
20190608,2019-06-08,2019,6,2,5,23,2019-06
20190609,2019-06-09,2019,6,2,6,23,2019-06
20190610,2019-06-10,2019,6,2,0,24,2019-06
20190611,2019-06-11,2019,6,2,1,24,2019-06
20190612,2019-06-12,2019,6,2,2,24,2019-06
20190613,2019-06-13,2019,6,2,3,24,2019-06
20190614,2019-06-14,2019,6,2,4,24,2019-06
20190615,2019-06-15,2019,6,2,5,24,2019-06
20190616,2019-06-16,2019,6,2,6,24,2019-06
20190617,2019-06-17,2019,6,2,0,25,2019-06
20190618,2019-06-18,2019,6,2,1,25,2019-06
20190619,2019-06-19,2019,6,2,2,25,2019-06
20190620,2019-06-20,2019,6,2,3,25,2019-06
20190621,2019-06-21,2019,6,2,4,25,2019-06
20190622,2019-06-22,2019,6,2,5,25,2019-06
20190623,2019-06-23,2019,6,2,6,25,2019-06
20190624,2019-06-24,2019,6,2,0,26,2019-06
20190625,2019-06-25,2019,6,2,1,26,2019-06
20190626,2019-06-26,2019,6,2,2,26,2019-06
