cluster,cluster_label,Recency,Frequency,Monetary,aov,category_diversity,return_rate_pct
1,High-Value Loyal,226.08726415094338,3.191627358490566,174.94250572963077,55.29569184157192,4.340801886792453,2.9062568066105805
0,At-Risk High Value,761.7033898305085,1.2787637088733799,89.13365927615013,75.62920030377005,2.1222333000997007,3.3933355057482677
6,Selective Buyers,73.66960546616707,2.0980824333259864,88.87308172125243,43.46624711168025,2.7240467269120563,3.4712464451278646
5,Recent But Inactive,302.09202211690365,2.0687203791469195,80.23556866528921,39.42458930116802,2.632306477093207,3.5575941085419758
4,Occasional Spenders,236.6689624970141,1.0,38.73758399902416,38.73758399902416,1.3380842423759853,3.7079544434827496
2,Low-Value Browsers,1069.2814575480165,1.0341051875785316,17.953841297918157,17.511321782208565,1.1488063184347515,4.16142409815
3,No Valid Purchase,9999.0,0.0,0.0,0.0,0.0,0.0
